time,precip,site,version,selected_lat,selected_lon
1981-05-15,0.041112814,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-16,0.017949779,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-17,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-18,0.39924473,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-19,0.042161062,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-20,0.32950872,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-21,0.014247464,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-22,0.7587357,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-23,0.17825067,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-24,0.124840066,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-25,0.5173266,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-26,0.055335153,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-27,0.49970475,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-28,0.12565124,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-29,0.014254422,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-30,0.09372505,Shukkloc,PISCO_v2,-9.65,-77.75
1981-05-31,0.4176356,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-01,0.11759712,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-02,0.059181836,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-03,0.00616834,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-04,0.0020655189,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-05,0.2533828,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-06,0.5032936,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-07,0.18674956,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-08,0.13100816,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-09,0.078577235,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-10,0.25555095,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-11,0.11756259,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-12,1.0332513,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-13,0.3442679,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-14,0.063699424,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-15,0.05082048,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-16,0.314612,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-17,0.009413049,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-18,0.16616234,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-19,0.48620433,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-20,0.33610007,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-21,0.12046211,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-22,0.24383557,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-23,0.330289,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-24,0.42743823,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-25,0.010902341,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-26,0.049663376,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-27,0.50239825,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-28,0.007339232,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-29,0.28978547,Shukkloc,PISCO_v2,-9.65,-77.75
1981-06-30,0.20243892,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-01,0.44913393,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-02,0.40030938,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-03,0.4904959,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-04,0.48490885,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-05,0.43792868,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-06,0.48228762,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-07,0.42805842,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-08,0.36074543,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-09,0.3993117,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-10,0.43116605,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-11,0.45577458,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-12,0.34531823,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-13,0.48976737,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-14,0.2924032,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-15,0.48999083,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-16,0.35277972,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-17,0.44962636,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-18,0.48292536,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-19,0.20724265,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-20,0.3333317,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-21,0.2848688,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-22,0.2944624,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-23,0.4611029,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-24,0.4259901,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-25,0.4316934,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-26,0.44217512,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-27,0.48901102,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-28,0.45394948,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-29,0.2667561,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-30,0.2915366,Shukkloc,PISCO_v2,-9.65,-77.75
1981-07-31,0.33993056,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-01,0.101451606,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-02,0.32337692,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-03,0.38007858,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-04,0.250605,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-05,0.012158054,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-06,0.4669431,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-07,0.020465553,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-08,0.93218035,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-09,0.55167675,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-10,3.5107956,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-11,1.6759894,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-12,0.032350764,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-13,0.033612773,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-14,0.26613018,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-15,0.054908592,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-16,0.46706134,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-17,0.49692193,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-18,0.0068644094,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-19,0.010415665,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-20,0.28222722,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-21,0.08673353,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-22,0.014082561,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-23,0.36109683,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-24,0.01116216,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-25,0.026812084,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-26,0.012918817,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-27,0.090401314,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-28,0.24011451,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-29,0.3360923,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-30,0.31480184,Shukkloc,PISCO_v2,-9.65,-77.75
1981-08-31,0.3743668,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-01,0.32958516,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-02,0.23739713,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-03,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-04,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-05,0.24228412,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-06,0.5305161,Shukkloc,PISCO_v2,-9.65,-77.75
1981-09-07,0.031410843,Shukkloc,PISCO_v2,-9.65,-77.75
